,Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
45,Male,68.5,-3.0739243,15.376091,0.08042609,13.579956,13.760646,14.059209,14.623689,15.376091,16.316202,16.930481,17.4051,18.221788,18.845642
46,Male,69.5,-3.1140935,15.376177,0.081058204,13.5727825,13.753644,14.052741,14.619142,15.376177,16.325903,16.949087,17.432169,18.266981,18.908018
47,Male,70.5,-3.1503901,15.377453,0.08170625,13.566123,13.747242,14.047006,14.615549,15.377453,16.337025,16.969255,17.460922,18.314156,18.972729
48,Male,71.5,-3.182893,15.379909,0.08236974,13.5599785,13.741441,14.042001,14.612904,15.379909,16.349552,16.99096,17.491327,18.36325,19.03969
49,Male,72.5,-3.2117052,15.383533,0.08304818,13.554354,13.736239,14.037724,14.6111965,15.383533,16.363464,17.014177,17.523352,18.414213,19.108824
50,Male,73.5,-3.2369483,15.38831,0.083741024,13.549249,13.73164,14.03417,14.610421,15.38831,16.378746,17.038883,17.55696,18.466986,19.18005
51,Male,74.5,-3.2587602,15.394229,0.0844477,13.54467,13.727641,14.031339,14.610567,15.394229,16.395374,17.06505,17.59212,18.521515,19.25329
52,Male,75.5,-3.2772815,15.401275,0.085167654,13.540618,13.724244,14.029224,14.611628,15.401275,16.413332,17.092651,17.6288,18.57775,19.328468
53,Male,76.5,-3.2926838,15.409432,0.08590019,13.537101,13.721453,14.027827,14.613592,15.409432,16.432596,17.121664,17.666964,18.635637,19.40551
54,Male,77.5,-3.305124,15.418687,0.086644664,13.5341215,13.719268,14.0271435,14.616453,15.418687,16.453146,17.152056,17.706581,18.69513,19.484344
55,Male,78.5,-3.314769,15.429023,0.08740042,13.531685,13.71769,14.02717,14.620201,15.429023,16.474958,17.183805,17.74762,18.756172,19.564898
56,Male,79.5,-3.321786,15.440424,0.08816674,13.529796,13.716724,14.027907,14.624827,15.440424,16.498013,17.21688,17.790043,18.81872,19.647102
57,Male,80.5,-3.3263457,15.452876,0.0889429,13.52846,13.716372,14.029351,14.630322,15.452876,16.522285,17.251257,17.833822,18.882725,19.730888
58,Male,81.5,-3.3286028,15.466362,0.0897282,13.527681,13.716632,14.0315,14.636679,15.466362,16.547756,17.286907,17.878923,18.948137,19.816189
59,Male,82.5,-3.3287253,15.480867,0.09052187,13.527466,13.717511,14.034351,14.643887,15.480867,16.5744,17.323803,17.925316,19.014912,19.902937
60,Male,83.5,-3.3268702,15.496375,0.09132316,13.527818,13.719008,14.037905,14.6519375,15.496375,16.602196,17.361916,17.972963,19.083,19.991068
61,Male,84.5,-3.3231888,15.51287,0.0921313,13.528743,13.721128,14.042158,14.660824,15.51287,16.631117,17.401218,18.021835,19.15236,20.08052
62,Male,85.5,-3.317827,15.530335,0.092945546,13.530246,13.723873,14.04711,14.670536,15.530335,16.661144,17.441685,18.0719,19.222946,20.17123
63,Male,86.5,-3.3109238,15.5487585,0.09376512,13.5323305,13.727243,14.052757,14.681067,15.5487585,16.692255,17.483286,18.123123,19.294712,20.263138
64,Male,87.5,-3.3026123,15.568121,0.09458927,13.535002,13.731241,14.0591,14.692409,15.568121,16.724424,17.525993,18.175476,19.367615,20.356182
65,Male,88.5,-3.2930183,15.58841,0.095417246,13.538263,13.735869,14.066134,14.704551,15.58841,16.757631,17.569782,18.228926,19.441612,20.450306
66,Male,89.5,-3.282261,15.609611,0.0962483,13.542119,13.74113,14.07386,14.717488,15.609611,16.791853,17.614622,18.28344,19.516659,20.545446
67,Male,90.5,-3.2704546,15.631707,0.09708169,13.546574,13.747023,14.082275,14.731213,15.631707,16.827066,17.66049,18.338985,19.592716,20.641552
68,Male,91.5,-3.2577035,15.654686,0.0979167,13.55163,13.753551,14.091377,14.745715,15.654686,16.863253,17.707355,18.395536,19.669739,20.738562
69,Male,92.5,-3.2441082,15.678532,0.098752595,13.557291,13.760715,14.101164,14.760989,15.678532,16.900387,17.755196,18.453058,19.747686,20.836426
70,Male,93.5,-3.2297616,15.703231,0.09958868,13.5635605,13.768516,14.111634,14.777026,15.703231,16.938448,17.80398,18.51152,19.826519,20.935085
71,Male,94.5,-3.2147512,15.728769,0.10042425,13.57044,13.776955,14.122786,14.79382,15.728769,16.977415,17.853685,18.570892,19.906197,21.03449
72,Male,95.5,-3.1991582,15.755134,0.10125864,13.577933,13.786032,14.134616,14.811362,15.755134,17.01727,17.904285,18.631147,19.98668,21.134586
73,Male,96.5,-3.183058,15.7823105,0.102091186,13.586041,13.795748,14.147123,14.829647,15.7823105,17.057987,17.955755,18.692251,20.067924,21.235323
74,Male,97.5,-3.1665206,15.810286,0.10292125,13.594768,13.806104,14.160304,14.848665,15.810286,17.099548,18.008066,18.754177,20.149899,21.33665
75,Male,98.5,-3.1496103,15.839047,0.10374819,13.604113,13.817099,14.174157,14.868411,15.839047,17.141933,18.061197,18.816895,20.23256,21.43852
